source_type,source_path,filename,extension,assigned_majors,word_count,preview_top_words
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 165,.csv-row,Computer Science,4,
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 166,.csv-row,Computer Science; Data Science and Analytics; Cybersecurity; Artificial Intelligence,11,data; science; cybersecurity; ethics
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 167,.csv-row,Computer Science,6,cloud; native; development
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 168,.csv-row,Computer Science; Artificial Intelligence,6,conversational
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 169,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,85,prefix; counted; prior; thesis; non; options; require; minimum
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 170,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,111,minimum; theory; algorithms; prefix; counted; satisfy; prior; professional
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 171,.csv-row,Computer Science,10,digital; image; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 172,.csv-row,Computer Science,10,digital; image; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 173,.csv-row,Computer Science; Electrical Engineering,10,medical; information; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 174,.csv-row,Computer Science; Electrical Engineering,10,medical; information; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 175,.csv-row,Computer Science,14,mobile; development; ios
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 176,.csv-row,Computer Science,14,mobile; development; ios
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 177,.csv-row,Computer Science,14,theory; philosophy; computation
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 178,.csv-row,Computer Science,14,theory; philosophy; computation
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 179,.csv-row,Computer Science,10,analysis; algorithms
