course_code,prefix,number,level,title_or_context,source_page,linked_file_or_page,raw_text
CDA 4323,CDA,4323,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CDA 4323
CDA 4630,CDA,4630,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CDA 4630
CDA 4630,CDA,4630,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CDA 4630
CDA 4630,CDA,4630,undergraduate,Introduction to Embedded Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CDA 4630 Introduction to Embedded Systems
CDA 4630,CDA,4630,undergraduate,Introduction to Embedded Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda4630intro-embedded-systems.pdf,CDA 4630 Introduction to Embedded Systems
CEN 4010,CEN,4010,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CEN 4010
CEN 4010,CEN,4010,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CEN 4010
CEN 4010,CEN,4010,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CEN 4010
CEN 4010,CEN,4010,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CEN 4010
CEN 4010,CEN,4010,undergraduate,Principles of Software Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CEN 4010 Principles of Software Engineering
CEN 4010,CEN,4010,undergraduate,Principles of Software Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cen4010principles-sw-engineering.pdf,CEN 4010 Principles of Software Engineering
CEN 4214,CEN,4214,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CEN 4214
CEN 4214,CEN,4214,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CEN 4214
CEN 4214,CEN,4214,undergraduate,Software Hardware Co-Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CEN 4214 Software Hardware Co-Design
CEN 4214,CEN,4214,undergraduate,Software Hardware Co-Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cen4214sw-hw-co-design.pdf,CEN 4214 Software Hardware Co-Design
CEN 4400,CEN,4400,undergraduate,Introduction to Computer Systems Performance Evaluation,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CEN 4400 Introduction to Computer Systems Performance Evaluation
CEN 4400,CEN,4400,undergraduate,Introduction to Computer Systems Performance Evaluation,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cen4400intro-computersystems-perf-eval.pdf,CEN 4400 Introduction to Computer Systems Performance Evaluation
CEN 4910,CEN,4910,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CEN 4910
