resource_type,link_text,url,source_page,saved_path,error
syllabus,EEE 4434 Nanobiotechnology,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4434nanobiotechnology.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4434nanobiotechnology.pdf,
syllabus,EEE 4510 Introduction to Digital Signal Processing,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4510digital-signal-processing.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4510digital-signal-processing.pdf,
syllabus,EEE 4541 Stochastic Processes and Random Signals,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eee4541stochastic-processes.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eee4541stochastic-processes.pdf,
syllabus,EEL 2161 C for Engineers,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel2161c-engineers.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel2161c-engineers.pdf,
syllabus,EEL 3012 Electrical Engineering Practice,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3012ee-practice.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3012ee-practice.pdf,
syllabus,EEL 3111 Circuits 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3111circuits1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3111circuits1.pdf,
syllabus,EEL 3112 Circuits 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3112circuits2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3112circuits2.pdf,
syllabus,EEL 3118L Lab 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3118l-lab1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3118l-lab1.pdf,
syllabus,EEL 3470 Electromagnetic Field and Waves,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel3470electromagnetic.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel3470electromagnetic.pdf,
syllabus,EEL 4119L Lab 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4119l-lab2.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4119l-lab2.pdf,
syllabus,EEL 4216 Electric Power Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4216electric-power-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4216electric-power-systems.pdf,
syllabus,EEL 4220 Electrical Machines,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4220electrical-machines.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4220electrical-machines.pdf,
syllabus,EEL 4281 Photovoltaic Power Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4281photovoltaic-power.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4281photovoltaic-power.pdf,
syllabus,EEL 4421C RF Devices and Circuits,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4421c-rf-devices-circuits.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4421c-rf-devices-circuits.pdf,
syllabus,EEL 4433C RF and Microwave Laboratory,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4433c-rf-microwave-laboratory.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4433c-rf-microwave-laboratory.pdf,
syllabus,EEL 4436 Microwave Engineering,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4436microwave-engineering.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4436microwave-engineering.pdf,
syllabus,EEL 4461 Introduction to Antenna Theory,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4461intro-antenna.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4461intro-antenna.pdf,
