query_id,doc_id,rank,score
q04,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_001,14,0.6872
q04,pdf_0284_bs-phd-computer-engineering-worksheet-12.09.2025::chunk_002,15,0.6846
q04,pdf_0509_msto-phd-computer-engineering-worksheet12.09.2025::chunk_002,16,0.6834
q04,pdf_0522_professional-ms-itm-csda-concentration-worksheet::chunk_001,17,0.6809
q04,pdf_0489_ms-computer-engineering-with-minor-in-business-worksheet::chunk_001,18,0.6744
q04,pdf_0488_ms--dsa--worksheet::chunk_001,19,0.6743
q04,pdf_0493_ms-egit-csda-worksheet::chunk_002,20,0.6736
q04,pdf_0487_ms--coen-worksheet::chunk_002,21,0.6692
q04,pdf_0504_ms-phd-computer-science-worksheet12.09.2025::chunk_001,22,0.6692
q04,pdf_0405_cybersecurity-certificate-program-application::chunk_001,23,0.6685
q04,pdf_0285_bs-phd-computer-science-worksheet12.09.2025::chunk_001,24,0.6661
q04,pdf_0494_ms-egit-csec-worksheet::chunk_002,25,0.6658
q04,pdf_0503_ms-in-information-technology-management-cybersecurity-progra::chunk_002,26,0.6616
q04,pdf_0404_cyber-security-cert-program-worksheet::chunk_001,27,0.6609
q04,pdf_0350_cgs1571computer-app2::chunk_001,28,0.6599
q04,pdf_0487_ms--coen-worksheet::chunk_001,29,0.6587
q04,pdf_0349_cgs1570computer-apps1::chunk_001,30,0.6585
q04,course_0186_COP_3014::chunk_001,31,0.658
q04,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_001,32,0.6559
q04,course_0171_CGS_1570::chunk_001,33,0.6557
q04,pdf_0407_cybersecurity-minor-program-application::chunk_001,34,0.6554
q04,pdf_0493_ms-egit-csda-worksheet::chunk_001,35,0.6546
q04,course_0058_CGS_5937::chunk_001,36,0.6539
q04,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_002,37,0.6535
q04,pdf_0406_cybersecurity-certificate-worksheet-2023::chunk_001,38,0.6526
q04,course_0179_CNT_4164::chunk_001,39,0.6514
q04,pdf_0521_professional-ms-itm-adv-info-tech-concentration-worksheet::chunk_001,40,0.6498
q04,course_0172_CGS_1571::chunk_001,41,0.6497
q04,course_0175_CIS_4634::chunk_001,42,0.6495
q04,pdf_0488_ms--dsa--worksheet::chunk_002,43,0.6491
q04,course_0159_CDA_4240C::chunk_001,44,0.6485
q04,pdf_0494_ms-egit-csec-worksheet::chunk_001,45,0.6481
q04,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_002,46,0.6476
q04,pdf_0486_ms--arin-worksheet::chunk_002,47,0.6458
q04,pdf_0408_cybersecurity-minor-worksheet::chunk_001,48,0.6449
q04,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,49,0.6448
q04,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_001,50,0.6445
q04,pdf_0368_cop3014foundations-cs::chunk_001,51,0.6442
q04,course_0173_CIS_4213::chunk_001,52,0.6438
q04,course_0185_COP_3014::chunk_001,53,0.6436
q04,pdf_0277_4-plus-1-itm-csda::chunk_001,54,0.6434
q04,course_0231_EEE_3300::chunk_001,55,0.641
q04,pdf_0509_msto-phd-computer-engineering-worksheet12.09.2025::chunk_001,56,0.6408
q04,pdf_0492_ms-egit-ait-worksheet::chunk_002,57,0.6405
q04,course_0238_EEE_4541::chunk_001,58,0.6399
q04,pdf_0284_bs-phd-computer-engineering-worksheet-12.09.2025::chunk_001,59,0.6398
q04,course_0100_COT_6905::chunk_001,60,0.6384
q04,pdf_0505_ms-phd-csc-data-science-anly-concn12.09.2025::chunk_001,61,0.6383
q04,course_0235_EEE_4361C::chunk_001,62,0.6372
q04,course_0174_CIS_4367::chunk_001,63,0.6362
q04,course_0149_CAP_4773::chunk_001,64,0.6355
q04,pdf_0369_cop3014l-foundationcs-lab::chunk_001,65,0.6354
q04,course_0160_CDA_4323::chunk_001,66,0.6348
q04,course_0153_CDA_4102::chunk_001,67,0.6348
q04,course_0192_COP_3530::chunk_001,68,0.6331
q04,pdf_0519_professional-ms-ai-worksheet::chunk_001,69,0.633
q04,pdf_0506_ms-phd-cybersecurity-concn12.09.2025::chunk_002,70,0.6328
q04,pdf_0503_ms-in-information-technology-management-cybersecurity-progra::chunk_001,71,0.6326
q04,course_0188_COP_3014L::chunk_001,72,0.6322
q04,pdf_0287_bs-phd-csc-data-science-anly-concn12.09.2025::chunk_002,73,0.631
q04,course_0209_COP_4610::chunk_001,74,0.6305
q04,course_0205_COP_4331::chunk_001,75,0.6304
q05,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_001,1,0.709
q05,pdf_0487_ms--coen-worksheet::chunk_002,2,0.7039
q05,pdf_0489_ms-computer-engineering-with-minor-in-business-worksheet::chunk_001,3,0.703
q05,pdf_0487_ms--coen-worksheet::chunk_001,4,0.7026
q05,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_002,5,0.7012
q05,pdf_0509_msto-phd-computer-engineering-worksheet12.09.2025::chunk_002,6,0.6977
q05,pdf_0284_bs-phd-computer-engineering-worksheet-12.09.2025::chunk_002,7,0.687
q05,pdf_0490_ms-computer-science-with-minor-in-business-worksheet::chunk_001,8,0.6795
