top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,ndcg_k,ndcg,map,combined_score
50,1.2,0.9,90,0.5,1.5,30,0.45076621049890603,0.32514735468495565,0.38795678259193084
100,1.8,0.55,30,0.5,0.75,30,0.4495996627537631,0.3262469145581525,0.3879232886559578
100,1.8,0.55,30,1.0,1.5,30,0.4495996627537631,0.3262469145581525,0.3879232886559578
100,0.8,0.9,90,0.5,0.75,30,0.4506218816699176,0.32515516738340233,0.38788852452666
100,0.8,0.9,90,1.0,1.5,30,0.4506218816699176,0.32515516738340233,0.38788852452666
100,0.8,0.35,60,0.5,1.0,30,0.45299360242392106,0.32265419173117404,0.38782389707754755
50,1.2,0.75,10,0.5,1.5,30,0.45191974733915796,0.3236116220087449,0.38776568467395145
100,1.5,0.55,10,0.5,0.75,30,0.44774622065017516,0.32746713018997753,0.3876066754200763
100,1.5,0.55,10,1.0,1.5,30,0.44774622065017516,0.32746713018997753,0.3876066754200763
50,2.2,0.9,90,0.5,1.0,30,0.4520391329823775,0.3231307695951471,0.3875849512887623
50,1.5,0.9,60,0.5,1.5,30,0.45046994526537437,0.3246159106814647,0.38754292797341955
100,1.8,0.9,60,0.5,0.5,30,0.4464310634396229,0.3281782703644861,0.3873046669020545
100,1.8,0.9,60,1.0,1.0,30,0.4464310634396229,0.3281782703644861,0.3873046669020545
100,1.8,0.9,60,1.5,1.5,30,0.4464310634396229,0.3281782703644861,0.3873046669020545
50,1.5,0.9,90,0.5,1.5,30,0.45027201753805585,0.3242460488671889,0.38725903320262234
50,2.2,0.55,10,0.5,1.0,30,0.4570696257405497,0.3170104903513188,0.3870400580459342
50,2.2,0.9,60,0.5,1.0,30,0.4510517715062536,0.3230083216368266,0.38703004657154005
100,0.8,0.55,90,0.5,1.0,30,0.4491380543386203,0.3248755310695834,0.3870067927041019
