top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,ndcg_k,ndcg,map,combined_score
100,1.8,0.9,60,0.5,0.75,30,0.45889136898747296,0.3331273451350541,0.3960093570612635
100,1.8,0.9,60,1.0,1.5,30,0.45889136898747296,0.3331273451350541,0.3960093570612635
100,1.2,0.55,30,0.5,1.5,30,0.4589508276591097,0.3330137390486215,0.39598228335386565
100,2.2,0.55,10,0.5,1.0,30,0.45862423669513486,0.33319825530821395,0.3959112460016744
100,1.5,0.75,10,0.5,1.0,30,0.45842091512239114,0.33333380325569195,0.39587735918904154
100,1.8,0.9,90,0.5,0.75,30,0.4592218687936241,0.33247549584075153,0.39584868231718784
100,1.8,0.9,90,1.0,1.5,30,0.4592218687936241,0.33247549584075153,0.39584868231718784
100,1.8,0.75,10,0.5,0.75,30,0.45823577418937267,0.3331077588722685,0.3956717665308206
100,1.8,0.75,10,1.0,1.5,30,0.45823577418937267,0.3331077588722685,0.3956717665308206
100,2.2,0.75,10,0.5,1.0,30,0.4583237532975179,0.3330169569120746,0.39567035510479626
50,2.2,0.9,90,0.5,1.5,30,0.4612993736558443,0.3300335317396733,0.3956664526977588
100,1.2,0.9,60,0.5,1.0,30,0.4580945325079222,0.3331515067183307,0.39562301961312646
50,1.5,0.75,10,0.5,1.5,30,0.4610793706264377,0.3299792820879716,0.39552932635720467
