method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf,700,100,150,2.2,1.0,150,0.25,2.0,0,,30,0.49046629083076726,0.35218623101851093,0.4213262609246391,582,182
rrf,700,100,100,1.8,0.9,150,0.25,2.5,0,,30,0.492335234089418,0.35024936634324905,0.4212923002163335,582,182
rrf,700,150,200,1.8,0.9,120,0.25,1.5,0,,30,0.4902045044741979,0.35237000260515144,0.42128725353967467,586,182
rrf,700,150,200,1.8,0.9,120,0.5,3.0,0,,30,0.4902045044741979,0.35237000260515144,0.42128725353967467,586,182
rrf,700,150,150,2.2,1.0,150,0.25,1.5,0,,30,0.4894515590353593,0.3531170915617918,0.4212843252985755,586,182
rrf,700,150,150,2.2,1.0,150,0.5,3.0,0,,30,0.4894515590353593,0.3531170915617918,0.4212843252985755,586,182
rrf,700,100,100,1.8,1.0,120,0.25,2.0,0,,30,0.4913219689875198,0.351236943341374,0.4212794561644469,582,182
rrf,700,100,100,1.8,1.0,90,0.25,2.0,0,,30,0.4916281048066649,0.35093011884173386,0.4212791118241994,582,182
rrf,700,100,150,1.8,1.0,150,0.25,2.5,0,,30,0.49164033276661867,0.3508785293810595,0.4212594310738391,582,182
rrf,700,150,100,2.6,1.0,150,0.25,2.5,0,,30,0.4929969713089563,0.3495095146128282,0.4212532429608923,586,182
rrf,700,100,100,1.8,1.0,120,0.5,2.0,0,,30,0.4917492457365988,0.350756962216274,0.4212531039764364,582,182
rrf,700,100,100,1.8,1.0,120,0.25,3.0,0,,30,0.49064998681742533,0.35168906932058114,0.4211695280690032,582,182
rrf,700,100,100,2.2,1.0,60,0.5,2.5,0,,30,0.49116757192115246,0.3511605439010533,0.4211640579111029,582,182
rrf,700,100,150,2.2,1.0,120,0.25,2.0,0,,30,0.4905037104754566,0.3518095676113756,0.4211566390434161,582,182
rrf,700,150,100,1.8,0.9,120,0.25,1.5,0,,30,0.49139141391692504,0.3509174519988846,0.4211544329579048,586,182
rrf,700,150,100,1.8,0.9,120,0.5,3.0,0,,30,0.49139141391692504,0.3509174519988846,0.4211544329579048,586,182
rrf,700,150,100,1.8,0.9,150,0.25,2.5,0,,30,0.4916478600233627,0.35063588293945375,0.42114187148140825,586,182
rrf,700,150,200,1.8,1.0,120,0.25,1.5,0,,30,0.489327628001283,0.35285861565753895,0.42109312182941094,586,182
rrf,700,150,200,1.8,1.0,120,0.5,3.0,0,,30,0.489327628001283,0.35285861565753895,0.42109312182941094,586,182
rrf,700,150,100,1.8,0.9,150,0.25,1.5,0,,30,0.49121589377845015,0.3509028916694382,0.4210593927239442,586,182
rrf,700,150,100,1.8,0.9,150,0.5,3.0,0,,30,0.49121589377845015,0.3509028916694382,0.4210593927239442,586,182
rrf,700,100,150,1.8,1.0,120,0.25,2.5,0,,30,0.4915619259034864,0.35050729877444015,0.4210346123389633,582,182
rrf,700,100,100,2.6,0.9,150,0.25,3.0,0,,30,0.4906473725945729,0.351414591287386,0.42103098194097943,582,182
rrf,700,100,150,2.6,1.0,90,0.25,2.0,0,,30,0.49140119954581374,0.3506415827334222,0.421021391139618,582,182
rrf,700,100,100,2.6,1.0,90,0.25,2.5,0,,30,0.492237215089865,0.34978406724946537,0.4210106411696652,582,182
rrf,700,150,150,2.2,1.0,150,0.5,2.5,0,,30,0.4885741160903009,0.35344279489835095,0.4210084554943259,586,182
rrf,700,150,100,1.8,0.9,150,0.25,2.0,0,,30,0.49123812540691836,0.3507713821350321,0.42100475377097524,586,182
rrf,700,100,100,2.6,1.0,120,0.25,2.0,0,,30,0.4909724261624687,0.3509645860150276,0.42096850608874814,582,182
rrf,700,100,150,2.6,1.0,150,0.25,2.0,0,,30,0.4904376006586744,0.3514902463101524,0.4209639234844134,582,182
rrf,700,150,150,2.2,1.0,120,0.5,2.5,0,,30,0.48865642052004954,0.3531372064650979,0.4208968134925737,586,182
rrf,700,150,100,1.8,0.75,150,0.25,2.5,0,,30,0.4900526486244701,0.35172483964758156,0.42088874413602584,586,182
rrf,700,150,200,1.8,0.9,150,0.25,2.0,0,,30,0.48996151631948687,0.3517344581707364,0.42084798724511163,586,182
rrf,700,100,100,1.8,1.0,150,0.25,1.5,0,,30,0.49005424937088504,0.351637677569855,0.42084596347037,582,182
rrf,700,100,100,1.8,1.0,150,0.5,3.0,0,,30,0.49005424937088504,0.351637677569855,0.42084596347037,582,182
rrf,700,100,100,2.2,1.0,90,0.5,2.5,0,,30,0.49066551854253176,0.35100594939355867,0.4208357339680452,582,182
rrf,700,100,100,2.2,0.75,150,0.25,2.5,0,,30,0.4907309471080417,0.35093517330281115,0.42083306020542643,582,182
rrf,700,150,100,1.8,0.9,90,0.25,1.5,0,,30,0.4911743461224211,0.3504775146034767,0.4208259303629489,586,182
rrf,700,150,100,1.8,0.9,90,0.5,3.0,0,,30,0.4911743461224211,0.3504775146034767,0.4208259303629489,586,182
rrf,700,150,100,2.2,0.9,90,0.25,1.5,0,,30,0.49134578470157303,0.35029771317527586,0.42082174893842444,586,182
rrf,700,150,100,2.2,0.9,90,0.5,3.0,0,,30,0.49134578470157303,0.35029771317527586,0.42082174893842444,586,182
rrf,700,150,100,2.2,1.0,150,0.25,2.0,0,,30,0.4910114885616027,0.3506048434267803,0.42080816599419146,586,182
