method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf,750,175,150,2.2,1.0,180,0.25,2.0,0,,30,0.4881133722160566,0.34957279389885276,0.41884308305745466,581,181
rrf,700,150,150,2.2,1.0,180,0.25,3.0,0,,30,0.4862107195094749,0.35146938544357853,0.4188400524765267,586,182
rrf,750,150,150,2.2,1.0,150,0.5,2.5,0,,30,0.48605277076078296,0.3516187250206645,0.41883574789072375,579,181
rrf,700,75,100,2.2,1.0,150,0.5,2.0,0,,30,0.4905326420587875,0.34705762334520257,0.41879513270199503,580,182
rrf,650,100,100,2.2,1.0,150,0.25,3.0,0,,30,0.48851007431140464,0.34905470931992416,0.4187823918156644,589,182
rrf,700,125,150,2.2,1.0,150,0.25,2.0,0,,30,0.48714019045739076,0.3504138355909694,0.4187770130241801,584,182
rrf,700,125,150,2.2,1.0,180,0.5,2.5,0,,30,0.4863891418911101,0.3510827073939128,0.4187359246425114,584,182
rrf,750,150,100,2.2,1.0,150,0.5,2.5,0,,30,0.48739845065100507,0.3500253765595244,0.4187119136052647,579,181
rrf,700,75,100,2.2,1.0,150,0.25,2.0,0,,30,0.48895904516266164,0.34845143187859584,0.41870523852062874,580,182
rrf,700,100,150,2.2,1.0,120,0.5,3.0,0,,30,0.48704777476650524,0.35032216622254203,0.41868497049452363,582,182
rrf,750,75,100,2.2,1.0,120,0.5,3.0,0,,30,0.4878538830159277,0.34947442750839375,0.4186641552621607,577,181
rrf,750,75,150,2.2,1.0,120,0.25,2.0,0,,30,0.48732900930528894,0.34994940588999546,0.41863920759764217,577,181
rrf,650,100,100,2.2,1.0,120,0.25,2.5,0,,30,0.4885292856361603,0.34871929805085716,0.41862429184350874,589,182
rrf,750,75,150,2.2,1.0,150,0.5,2.5,0,,30,0.48771555596893956,0.3495246371558128,0.4186200965623762,577,181
rrf,750,150,150,2.2,1.0,150,0.25,2.5,0,,30,0.4862614879874627,0.35097779967237874,0.41861964382992073,579,181
rrf,750,100,100,2.2,1.0,180,0.25,3.0,0,,30,0.4873779268602883,0.3498344839790858,0.41860620541968707,578,181
rrf,750,175,100,2.2,1.0,120,0.25,3.0,0,,30,0.4882046153087677,0.34897268064896536,0.4185886479788665,581,181
rrf,750,75,150,2.2,1.0,180,0.5,2.5,0,,30,0.48712119002102455,0.3500544053359059,0.4185877976784652,577,181
rrf,700,125,150,2.2,1.0,120,0.5,3.0,0,,30,0.48689407628868064,0.3502749462808153,0.41858451128474794,584,182
rrf,750,175,150,2.2,1.0,180,0.5,3.0,0,,30,0.48647333333606724,0.35065634849786853,0.4185648409169679,581,181
rrf,750,150,100,2.2,1.0,180,0.5,3.0,0,,30,0.4871525257312143,0.3499672155401113,0.4185598706356628,579,181
rrf,700,175,100,2.2,1.0,150,0.25,2.5,0,,30,0.4869543902800612,0.35016300789806076,0.41855869908906096,587,182
rrf,700,75,100,2.2,1.0,180,0.5,2.0,0,,30,0.4897138797284333,0.347361280403097,0.41853758006576514,580,182
rrf,650,100,150,2.2,1.0,120,0.25,2.0,0,,30,0.48824982779426224,0.3487570881039886,0.4185034579491254,589,182
rrf,750,125,100,2.2,1.0,150,0.5,2.0,0,,30,0.4914240580135341,0.3455759677072409,0.4185000128603875,579,181
rrf,700,100,150,2.2,1.0,150,0.5,2.0,0,,30,0.4858344499137871,0.3511220740950938,0.41847826200444044,582,182
rrf,750,75,100,2.2,1.0,120,0.25,3.0,0,,30,0.4871163555104366,0.34983144955485695,0.41847390253264677,577,181
rrf,700,125,100,2.2,1.0,150,0.5,2.5,0,,30,0.48759233194903084,0.34935039594352324,0.41847136394627704,584,182
rrf,650,175,150,2.2,1.0,180,0.25,2.0,0,,30,0.48743390009800336,0.3494847148765303,0.41845930748726684,591,182
rrf,750,75,150,2.2,1.0,180,0.25,3.0,0,,30,0.4871998184067882,0.34971690776466247,0.41845836308572537,577,181
rrf,750,150,150,2.2,1.0,180,0.5,3.0,0,,30,0.48563585515437235,0.35127568822345545,0.4184557716889139,579,181
rrf,800,75,100,2.2,1.0,180,0.5,2.0,0,,30,0.4861736457855739,0.35071859660619537,0.41844612119588465,572,180
rrf,700,175,100,2.2,1.0,150,0.5,3.0,0,,30,0.4863006719211488,0.3505846072929861,0.4184426396070674,587,182
rrf,650,100,100,2.2,1.0,180,0.5,2.0,0,,30,0.49067223783695313,0.34618583815183046,0.4184290379943918,589,182
rrf,750,175,100,2.2,1.0,150,0.5,2.5,0,,30,0.48705631666943044,0.34979045435398426,0.4184233855117073,581,181
rrf,750,175,150,2.2,1.0,180,0.25,2.5,0,,30,0.48749960326029534,0.3493060143462228,0.4184028088032591,581,181
rrf,750,75,150,2.2,1.0,120,0.5,2.5,0,,30,0.48745194992149626,0.3493402189283378,0.41839608442491705,577,181
rrf,800,100,150,2.2,1.0,180,0.5,2.0,0,,30,0.48687663033002815,0.34990420887910983,0.418390419604569,573,180
rrf,700,125,150,2.2,1.0,150,0.5,2.5,0,,30,0.48613963127108123,0.3505896220746075,0.41836462667284435,584,182
