method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf_plus_rerank,700,100,100,1.8,0.9,150,0.5,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.291159258134194,0.3567227073553975,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,90,0.25,1.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.291159258134194,0.3567227073553975,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,90,0.5,3.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.291159258134194,0.3567227073553975,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,150,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.291159258134194,0.3567227073553975,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,120,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.291159258134194,0.3567227073553975,582,182
rrf_plus_rerank,700,100,100,1.8,0.9,150,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.291159258134194,0.3567227073553975,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,3.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29114258538768706,0.35671437098214404,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29114258538768706,0.35671437098214404,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,120,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29114258538768706,0.35671437098214404,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.5,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29114258538768706,0.35671437098214404,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,90,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29114258538768706,0.35671437098214404,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29114258538768706,0.35671437098214404,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.5,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,3.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.5,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.5,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
